district,season,crop_name,suitability_score,popularity
ঢাকা,রবি,ধান,92,উচ্চ
ঢাকা,রবি,ভুট্টা,91,নিম্ন
ঢাকা,রবি,পাট,80,মধ্যম
ঢাকা,রবি,আলু,71,মধ্যম
ঢাকা,খরিপ,সূর্যমুখী,80,নিম্ন
ঢাকা,খরিপ,সয়াবিন,71,মধ্যম
ঢাকা,খরিপ,রসুন,71,নিম্ন
ঢাকা,শীত,রসুন,76,উচ্চ
ঢাকা,শীত,আলু,73,নিম্ন
ঢাকা,শীত,পেঁয়াজ,83,মধ্যম
ঢাকা,শীত,সূর্যমুখী,83,উচ্চ
ঢাকা,বর্ষা,রসুন,70,উচ্চ
ঢাকা,বর্ষা,ভুট্টা,85,নিম্ন
ঢাকা,বর্ষা,আলু,87,নিম্ন
ঢাকা,বর্ষা,পাট,93,উচ্চ
ময়মনসিংহ,রবি,আলু,77,মধ্যম
ময়মনসিংহ,রবি,রসুন,89,উচ্চ
ময়মনসিংহ,রবি,মরিচ,95,উচ্চ
ময়মনসিংহ,খরিপ,সয়াবিন,89,মধ্যম
ময়মনসিংহ,খরিপ,আলু,82,নিম্ন
ময়মনসিংহ,খরিপ,সূর্যমুখী,91,মধ্যম
ময়মনসিংহ,খরিপ,ভুট্টা,74,মধ্যম
ময়মনসিংহ,খরিপ,রসুন,74,মধ্যম
ময়মনসিংহ,শীত,সূর্যমুখী,90,উচ্চ
ময়মনসিংহ,শীত,আলু,70,নিম্ন
ময়মনসিংহ,শীত,সয়াবিন,70,মধ্যম
ময়মনসিংহ,বর্ষা,গম,93,মধ্যম
ময়মনসিংহ,বর্ষা,সূর্যমুখী,91,নিম্ন
ময়মনসিংহ,বর্ষা,ভুট্টা,95,মধ্যম
ময়মনসিংহ,বর্ষা,রসুন,77,উচ্চ
রংপুর,রবি,ধান,91,নিম্ন
রংপুর,রবি,পেঁয়াজ,76,মধ্যম
রংপুর,রবি,সয়াবিন,78,মধ্যম
রংপুর,খরিপ,ধান,74,উচ্চ
রংপুর,খরিপ,গম,93,নিম্ন
রংপুর,খরিপ,পাট,80,নিম্ন
রংপুর,খরিপ,রসুন,70,উচ্চ
রংপুর,শীত,সূর্যমুখী,83,মধ্যম
রংপুর,শীত,রসুন,74,উচ্চ
রংপুর,শীত,ধান,89,উচ্চ
রংপুর,শীত,সয়াবিন,83,উচ্চ
রংপুর,শীত,মরিচ,87,নিম্ন
রংপুর,বর্ষা,সয়াবিন,74,মধ্যম
রংপুর,বর্ষা,পাট,93,উচ্চ
রংপুর,বর্ষা,আলু,92,নিম্ন
বগুড়া,রবি,ভুট্টা,86,উচ্চ
বগুড়া,রবি,সয়াবিন,85,নিম্ন
বগুড়া,রবি,সূর্যমুখী,86,মধ্যম
বগুড়া,রবি,গম,84,নিম্ন
বগুড়া,রবি,পাট,90,মধ্যম
বগুড়া,রবি,রসুন,89,মধ্যম
বগুড়া,খরিপ,সয়াবিন,73,নিম্ন
বগুড়া,খরিপ,পেঁয়াজ,90,মধ্যম
বগুড়া,খরিপ,ভুট্টা,82,মধ্যম
বগুড়া,শীত,ভুট্টা,90,মধ্যম
বগুড়া,শীত,রসুন,73,মধ্যম
বগুড়া,শীত,ধান,71,মধ্যম
বগুড়া,শীত,মরিচ,70,নিম্ন
বগুড়া,শীত,সূর্যমুখী,93,মধ্যম
বগুড়া,শীত,আলু,87,মধ্যম
বগুড়া,বর্ষা,আলু,73,মধ্যম
বগুড়া,বর্ষা,গম,86,উচ্চ
বগুড়া,বর্ষা,রসুন,78,নিম্ন
বগুড়া,বর্ষা,সয়াবিন,86,উচ্চ
বগুড়া,বর্ষা,ভুট্টা,91,মধ্যম
রাজশাহী,রবি,মরিচ,86,মধ্যম
রাজশাহী,রবি,ভুট্টা,94,উচ্চ
রাজশাহী,রবি,সয়াবিন,80,নিম্ন
রাজশাহী,রবি,রসুন,93,উচ্চ
রাজশাহী,রবি,আলু,80,মধ্যম
রাজশাহী,রবি,ধান,71,নিম্ন
রাজশাহী,খরিপ,ধান,70,মধ্যম
রাজশাহী,খরিপ,গম,74,মধ্যম
রাজশাহী,খরিপ,মরিচ,90,উচ্চ
রাজশাহী,খরিপ,সূর্যমুখী,80,উচ্চ
রাজশাহী,খরিপ,আলু,77,নিম্ন
রাজশাহী,খরিপ,রসুন,89,উচ্চ
রাজশাহী,শীত,পেঁয়াজ,80,নিম্ন
রাজশাহী,শীত,ধান,76,উচ্চ
রাজশাহী,শীত,রসুন,82,মধ্যম
রাজশাহী,শীত,ভুট্টা,85,উচ্চ
রাজশাহী,শীত,সূর্যমুখী,78,উচ্চ
রাজশাহী,শীত,মরিচ,73,নিম্ন
রাজশাহী,বর্ষা,রসুন,94,উচ্চ
রাজশাহী,বর্ষা,ভুট্টা,70,মধ্যম
রাজশাহী,বর্ষা,ধান,93,নিম্ন
রাজশাহী,বর্ষা,সয়াবিন,89,মধ্যম
কুষ্টিয়া,রবি,গম,79,নিম্ন
কুষ্টিয়া,রবি,মরিচ,80,উচ্চ
কুষ্টিয়া,রবি,আলু,76,মধ্যম
কুষ্টিয়া,রবি,পেঁয়াজ,72,উচ্চ
কুষ্টিয়া,রবি,রসুন,76,নিম্ন
কুষ্টিয়া,খরিপ,ভুট্টা,92,নিম্ন
কুষ্টিয়া,খরিপ,রসুন,91,নিম্ন
কুষ্টিয়া,খরিপ,পেঁয়াজ,86,মধ্যম
কুষ্টিয়া,খরিপ,গম,86,মধ্যম
কুষ্টিয়া,খরিপ,আলু,84,উচ্চ
কুষ্টিয়া,শীত,রসুন,87,নিম্ন
কুষ্টিয়া,শীত,সূর্যমুখী,79,উচ্চ
কুষ্টিয়া,শীত,সয়াবিন,84,নিম্ন
কুষ্টিয়া,বর্ষা,পেঁয়াজ,83,নিম্ন
কুষ্টিয়া,বর্ষা,সয়াবিন,79,নিম্ন
কুষ্টিয়া,বর্ষা,ভুট্টা,92,উচ্চ
কুষ্টিয়া,বর্ষা,আলু,80,উচ্চ
বরিশাল,রবি,রসুন,93,নিম্ন
বরিশাল,রবি,ভুট্টা,75,নিম্ন
বরিশাল,রবি,পাট,73,উচ্চ
বরিশাল,রবি,ধান,95,মধ্যম
বরিশাল,খরিপ,আলু,91,উচ্চ
বরিশাল,খরিপ,ভুট্টা,95,মধ্যম
বরিশাল,খরিপ,মরিচ,79,মধ্যম
বরিশাল,খরিপ,পাট,91,মধ্যম
বরিশাল,খরিপ,রসুন,70,নিম্ন
বরিশাল,শীত,রসুন,76,উচ্চ
বরিশাল,শীত,পেঁয়াজ,94,উচ্চ
বরিশাল,শীত,আলু,79,নিম্ন
বরিশাল,শীত,পাট,73,মধ্যম
বরিশাল,শীত,সূর্যমুখী,79,নিম্ন
বরিশাল,শীত,সয়াবিন,89,উচ্চ
বরিশাল,বর্ষা,ভুট্টা,85,উচ্চ
বরিশাল,বর্ষা,সয়াবিন,88,উচ্চ
বরিশাল,বর্ষা,রসুন,74,মধ্যম
বরিশাল,বর্ষা,মরিচ,71,নিম্ন
বরিশাল,বর্ষা,পাট,84,নিম্ন
বরিশাল,বর্ষা,সূর্যমুখী,79,নিম্ন
সিলেট,রবি,গম,81,উচ্চ
সিলেট,রবি,সূর্যমুখী,83,মধ্যম
সিলেট,রবি,মরিচ,90,মধ্যম
সিলেট,রবি,পেঁয়াজ,83,উচ্চ
সিলেট,খরিপ,পেঁয়াজ,77,নিম্ন
সিলেট,খরিপ,সয়াবিন,84,নিম্ন
সিলেট,খরিপ,রসুন,95,মধ্যম
সিলেট,শীত,সূর্যমুখী,89,উচ্চ
সিলেট,শীত,সয়াবিন,81,নিম্ন
সিলেট,শীত,রসুন,89,মধ্যম
সিলেট,শীত,আলু,73,উচ্চ
সিলেট,শীত,ভুট্টা,84,মধ্যম
সিলেট,বর্ষা,পেঁয়াজ,76,নিম্ন
সিলেট,বর্ষা,রসুন,87,নিম্ন
সিলেট,বর্ষা,মরিচ,72,উচ্চ
সিলেট,বর্ষা,পাট,84,উচ্চ
সিলেট,বর্ষা,আলু,79,উচ্চ
সিলেট,বর্ষা,ভুট্টা,81,উচ্চ
চট্টগ্রাম,রবি,ভুট্টা,74,উচ্চ
চট্টগ্রাম,রবি,ধান,74,নিম্ন
চট্টগ্রাম,রবি,পেঁয়াজ,72,মধ্যম
চট্টগ্রাম,রবি,সূর্যমুখী,71,মধ্যম
চট্টগ্রাম,রবি,গম,73,নিম্ন
চট্টগ্রাম,খরিপ,আলু,94,মধ্যম
চট্টগ্রাম,খরিপ,মরিচ,95,নিম্ন
চট্টগ্রাম,খরিপ,গম,76,উচ্চ
চট্টগ্রাম,খরিপ,ভুট্টা,95,উচ্চ
চট্টগ্রাম,খরিপ,সূর্যমুখী,75,নিম্ন
চট্টগ্রাম,শীত,সয়াবিন,70,মধ্যম
চট্টগ্রাম,শীত,ভুট্টা,89,উচ্চ
চট্টগ্রাম,শীত,ধান,72,নিম্ন
চট্টগ্রাম,শীত,গম,77,নিম্ন
চট্টগ্রাম,বর্ষা,সয়াবিন,86,নিম্ন
চট্টগ্রাম,বর্ষা,রসুন,78,নিম্ন
চট্টগ্রাম,বর্ষা,আলু,95,উচ্চ
চট্টগ্রাম,বর্ষা,সূর্যমুখী,80,মধ্যম
খুলনা,রবি,আলু,93,মধ্যম
খুলনা,রবি,সয়াবিন,95,মধ্যম
খুলনা,রবি,ধান,73,উচ্চ
খুলনা,রবি,পেঁয়াজ,94,মধ্যম
খুলনা,খরিপ,মরিচ,92,নিম্ন
খুলনা,খরিপ,পাট,86,নিম্ন
খুলনা,খরিপ,সয়াবিন,77,উচ্চ
খুলনা,খরিপ,ধান,92,উচ্চ
খুলনা,শীত,গম,84,মধ্যম
খুলনা,শীত,সয়াবিন,87,নিম্ন
খুলনা,শীত,আলু,82,নিম্ন
খুলনা,বর্ষা,আলু,94,মধ্যম
খুলনা,বর্ষা,মরিচ,79,মধ্যম
খুলনা,বর্ষা,রসুন,79,মধ্যম
খুলনা,বর্ষা,সূর্যমুখী,89,মধ্যম
খুলনা,বর্ষা,পেঁয়াজ,71,মধ্যম
